Punkte/Alter;6 bis 7;8 bis 9;10 bis 11;12 bis 13;14 bis 15;16 bis 17;18 bis 19;20 bis 24;25 bis 29;30 bis 34;35 bis 39;40 bis 44;45 bis 49
100;6,03;5,43;5,19;4,8;4,41;4,305;4,335;4,425;4,545;4,65;4,83;4,95;5,1
99;6,084;5,484;5,244;4,86;4,458;4,344;4,386;4,476;4,596;4,704;4,884;5,016;5,172
98;6,138;5,538;5,298;4,92;4,506;4,383;4,437;4,527;4,647;4,758;4,938;5,082;5,244
97;6,192;5,592;5,352;4,98;4,554;4,422;4,488;4,578;4,698;4,812;4,992;5,148;5,316
96;6,246;5,646;5,406;5,04;4,602;4,461;4,539;4,629;4,749;4,866;5,046;5,214;5,388
95;6,3;5,7;5,46;5,1;4,65;4,5;4,59;4,68;4,8;4,92;5,1;5,28;5,46
94;6,38;5,79;5,52;5,166;4,695;4,539;4,626;4,716;4,836;4,962;5,148;5,346;5,532
93;6,46;5,88;5,58;5,232;4,74;4,578;4,662;4,752;4,872;5,004;5,196;5,412;5,604
92;6,54;5,97;5,64;5,298;4,785;4,617;4,698;4,788;4,908;5,046;5,244;5,478;5,676
91;6,62;6,06;5,7;5,364;4,83;4,656;4,734;4,824;4,944;5,088;5,292;5,544;5,748
90;6,7;6,15;5,76;5,43;4,875;4,695;4,77;4,86;4,98;5,13;5,34;5,61;5,82
89;6,78;6,24;5,82;5,496;4,92;4,734;4,806;4,896;5,016;5,172;5,388;5,676;5,892
88;6,86;6,33;5,88;5,562;4,965;4,773;4,842;4,932;5,052;5,214;5,436;5,742;5,964
87;6,94;6,42;5,94;5,628;5,01;4,812;4,878;4,968;5,088;5,256;5,484;5,808;6,036
86;7,02;6,51;6;5,694;5,055;4,851;4,914;5,004;5,124;5,298;5,532;5,874;6,108
85;7,1;6,6;6,06;5,76;5,1;4,89;4,95;5,04;5,16;5,34;5,58;5,94;6,18
84;7,18;6,69;6,12;5,826;5,145;4,929;4,986;5,076;5,196;5,382;5,628;6,006;6,252
83;7,26;6,78;6,18;5,892;5,19;4,968;5,022;5,112;5,232;5,424;5,676;6,072;6,324
82;7,34;6,87;6,24;5,958;5,235;5,007;5,058;5,148;5,268;5,466;5,724;6,138;6,396
81;7,42;6,96;6,3;6,024;5,28;5,046;5,094;5,184;5,304;5,508;5,772;6,204;6,468
80;7,5;7,05;6,36;6,09;5,325;5,085;5,13;5,22;5,34;5,55;5,82;6,27;6,54
79;7,58;7,14;6,42;6,156;5,37;5,124;5,166;5,256;5,376;5,592;5,868;6,336;6,612
78;7,66;7,23;6,48;6,222;5,415;5,163;5,202;5,292;5,412;5,634;5,916;6,402;6,684
77;7,74;7,32;6,54;6,288;5,46;5,202;5,238;5,328;5,448;5,676;5,964;6,468;6,756
76;7,82;7,41;6,6;6,354;5,505;5,241;5,274;5,364;5,484;5,718;6,012;6,534;6,828
75;8;7,4;6,6;6,36;5,58;5,28;5,46;5,55;5,67;5,88;6,12;6,6;6,9
74;8,08;7,49;6,66;6,426;5,625;5,319;5,496;5,586;5,706;5,922;6,168;6,666;6,972
73;8,16;7,58;6,72;6,492;5,67;5,358;5,532;5,622;5,742;5,964;6,216;6,732;7,044
72;8,24;7,67;6,78;6,558;5,715;5,397;5,568;5,658;5,778;6,006;6,264;6,798;7,116
71;8,32;7,76;6,84;6,624;5,76;5,436;5,604;5,694;5,814;6,048;6,312;6,864;7,188
70;8,4;7,85;6,9;6,69;5,805;5,475;5,64;5,73;5,85;6,09;6,36;6,93;7,26
69;8,48;7,94;6,96;6,756;5,85;5,514;5,676;5,766;5,886;6,132;6,408;6,996;7,332
68;8,56;8,03;7,02;6,822;5,895;5,553;5,712;5,802;5,922;6,174;6,456;7,062;7,404
67;8,64;8,12;7,08;6,888;5,94;5,592;5,748;5,838;5,958;6,216;6,504;7,128;7,476
66;8,72;8,21;7,14;6,954;5,985;5,631;5,784;5,874;5,994;6,258;6,552;7,194;7,548
65;8,8;8,3;7,2;7,02;6,03;5,67;5,82;5,91;6,03;6,3;6,6;7,26;7,62
64;8,88;8,39;7,26;7,086;6,075;5,709;5,856;5,946;6,066;6,342;6,648;7,326;7,692
63;8,96;8,48;7,32;7,152;6,12;5,748;5,892;5,982;6,102;6,384;6,696;7,392;7,764
62;9,04;8,57;7,38;7,218;6,165;5,787;5,928;6,018;6,138;6,426;6,744;7,458;7,836
61;9,12;8,66;7,44;7,284;6,21;5,826;5,964;6,054;6,174;6,468;6,792;7,524;7,908
60;9,2;8,75;7,5;7,35;6,255;5,865;6;6,09;6,21;6,51;6,84;7,59;7,98
59;9,28;8,84;7,56;7,416;6,3;5,904;6,036;6,126;6,246;6,552;6,888;7,656;8,052
58;9,36;8,93;7,62;7,482;6,345;5,943;6,072;6,162;6,282;6,594;6,936;7,722;8,124
57;9,44;9,02;7,68;7,548;6,39;5,982;6,108;6,198;6,318;6,636;6,984;7,788;8,196
56;9,52;9,11;7,74;7,614;6,435;6,021;6,144;6,234;6,354;6,678;7,032;7,854;8,268
55;9,6;9,2;7,8;7,68;6,48;6,06;6,18;6,27;6,39;6,72;7,08;7,92;8,34
54;9,68;9,29;7,86;7,746;6,525;6,099;6,216;6,306;6,426;6,762;7,128;7,986;8,412
53;9,76;9,38;7,92;7,812;6,57;6,138;6,252;6,342;6,462;6,804;7,176;8,052;8,484
52;9,84;9,47;7,98;7,878;6,615;6,177;6,288;6,378;6,498;6,846;7,224;8,118;8,556
51;9,92;9,56;8,04;7,944;6,66;6,216;6,324;6,414;6,534;6,888;7,272;8,184;8,628
50;10;9,65;8,1;8,01;6,705;6,255;6,36;6,45;6,57;6,93;7,32;8,25;8,7
49;10,08;9,74;8,16;8,076;6,75;6,294;6,396;6,486;6,606;6,972;7,368;8,316;8,772
48;10,16;9,83;8,22;8,142;6,795;6,333;6,432;6,522;6,642;7,014;7,416;8,382;8,844
47;10,24;9,92;8,28;8,208;6,84;6,372;6,468;6,558;6,678;7,056;7,464;8,448;8,916
46;10,32;10,01;8,34;8,274;6,885;6,411;6,504;6,594;6,714;7,098;7,512;8,514;8,988
45;10,4;10,1;8,4;8,34;6,93;6,45;6,54;6,63;6,75;7,14;7,56;8,58;9,06
44;10,48;10,19;8,46;8,406;6,975;6,489;6,576;6,666;6,786;7,182;7,608;8,646;9,132
43;10,56;10,28;8,52;8,472;7,02;6,528;6,612;6,702;6,822;7,224;7,656;8,712;9,204
42;10,64;10,37;8,58;8,538;7,065;6,567;6,648;6,738;6,858;7,266;7,704;8,778;9,276
41;10,72;10,46;8,64;8,604;7,11;6,606;6,684;6,774;6,894;7,308;7,752;8,844;9,348
40;10,8;10,55;8,7;8,67;7,155;6,645;6,72;6,81;6,93;7,35;7,8;8,91;9,42
39;10,88;10,64;8,76;8,736;7,2;6,684;6,756;6,846;6,966;7,392;7,848;8,976;9,492
38;10,96;10,73;8,82;8,802;7,245;6,723;6,792;6,882;7,002;7,434;7,896;9,042;9,564
37;11,04;10,82;8,88;8,868;7,29;6,762;6,828;6,918;7,038;7,476;7,944;9,108;9,636
36;11,12;10,91;8,94;8,934;7,335;6,801;6,864;6,954;7,074;7,518;7,992;9,174;9,708
35;11,2;11;9;9;7,38;6,84;6,9;6,99;7,11;7,56;8,04;9,24;9,78
34;11,28;11,09;9,06;9,066;7,425;6,879;6,936;7,026;7,146;7,602;8,088;9,306;9,852
33;11,36;11,18;9,12;9,132;7,47;6,918;6,972;7,062;7,182;7,644;8,136;9,372;9,924
32;11,44;11,27;9,18;9,198;7,515;6,957;7,008;7,098;7,218;7,686;8,184;9,438;9,996
31;11,52;11,36;9,24;9,264;7,56;6,996;7,044;7,134;7,254;7,728;8,232;9,504;10,068
30;11,6;11,45;9,3;9,33;7,605;7,035;7,08;7,17;7,29;7,77;8,28;9,57;10,14
29;11,68;11,54;9,36;9,396;7,65;7,074;7,116;7,206;7,326;7,812;8,328;9,636;10,212
28;11,76;11,63;9,42;9,462;7,695;7,113;7,152;7,242;7,362;7,854;8,376;9,702;10,284
27;11,84;11,72;9,48;9,528;7,74;7,152;7,188;7,278;7,398;7,896;8,424;9,768;10,356
26;11,92;11,81;9,54;9,594;7,785;7,191;7,224;7,314;7,434;7,938;8,472;9,834;10,428
25;12;11,9;9,6;9,66;7,83;7,23;7,26;7,35;7,47;7,98;8,52;9,9;10,5
24;12,08;11,99;9,66;9,726;7,875;7,269;7,296;7,386;7,506;8,022;8,568;9,966;10,572
23;12,16;12,08;9,72;9,792;7,92;7,308;7,332;7,422;7,542;8,064;8,616;10,032;10,644
22;12,24;12,17;9,78;9,858;7,965;7,347;7,368;7,458;7,578;8,106;8,664;10,098;10,716
21;12,32;12,26;9,84;9,924;8,01;7,386;7,404;7,494;7,614;8,148;8,712;10,164;10,788
20;12,4;12,35;9,9;9,99;8,055;7,425;7,44;7,53;7,65;8,19;8,76;10,23;10,86
19;12,48;12,44;9,96;10,056;8,1;7,464;7,476;7,566;7,686;8,232;8,808;10,296;10,932
18;12,56;12,53;10,02;10,122;8,145;7,503;7,512;7,602;7,722;8,274;8,856;10,362;11,004
17;12,64;12,62;10,08;10,188;8,19;7,542;7,548;7,638;7,758;8,316;8,904;10,428;11,076
16;12,72;12,71;10,14;10,254;8,235;7,581;7,584;7,674;7,794;8,358;8,952;10,494;11,148
15;12,8;12,8;10,2;10,32;8,28;7,62;7,62;7,71;7,83;8,4;9;10,56;11,22
14;12,88;12,89;10,26;10,386;8,325;7,659;7,656;7,746;7,866;8,442;9,048;10,626;11,292
13;12,96;12,98;10,32;10,452;8,37;7,698;7,692;7,782;7,902;8,484;9,096;10,692;11,364
12;13,04;13,07;10,38;10,518;8,415;7,737;7,728;7,818;7,938;8,526;9,144;10,758;11,436
11;13,12;13,16;10,44;10,584;8,46;7,776;7,764;7,854;7,974;8,568;9,192;10,824;11,508
10;13,2;13,25;10,5;10,65;8,505;7,815;7,8;7,89;8,01;8,61;9,24;10,89;11,58
9;13,28;13,34;10,56;10,716;8,55;7,854;7,836;7,926;8,046;8,652;9,288;10,956;11,652
8;13,36;13,43;10,62;10,782;8,595;7,893;7,872;7,962;8,082;8,694;9,336;11,022;11,724
7;13,44;13,52;10,68;10,848;8,64;7,932;7,908;7,998;8,118;8,736;9,384;11,088;11,796
6;13,52;13,61;10,74;10,914;8,685;7,971;7,944;8,034;8,154;8,778;9,432;11,154;11,868
5;13,6;13,7;10,8;10,98;8,73;8,01;7,98;8,07;8,19;8,82;9,48;11,22;11,94
4;13,68;13,79;10,86;11,046;8,775;8,049;8,016;8,106;8,226;8,862;9,528;11,286;12,012
3;13,76;13,88;10,92;11,112;8,82;8,088;8,052;8,142;8,262;8,904;9,576;11,352;12,084
2;13,84;13,97;10,98;11,178;8,865;8,127;8,088;8,178;8,298;8,946;9,624;11,418;12,156
1;13,92;14,06;11,04;11,244;8,91;8,166;8,124;8,214;8,334;8,988;9,672;11,484;12,228
0;14;14,15;11,1;11,31;8,955;8,205;8,16;8,25;8,37;9,03;9,72;11,55;12,3
